Regiao,UF,Qtd Postos Pesquisados,Data Inicial,Data Final,Valor Minimo,Valor Maximo,Valor Medio
CENTRO-OESTE,DF,1093,2004-05-10,2004-06-29,1.73,2.15,2.0522003659652333
CENTRO-OESTE,GO,3133,2004-05-10,2004-06-30,1.8,2.345,2.017947973188637
CENTRO-OESTE,MS,1392,2004-05-10,2004-06-30,1.94,2.71,2.132728448275862
CENTRO-OESTE,MT,1573,2004-05-10,2004-06-30,2.0,2.74,2.37759249841068
NORDESTE,AL,851,2004-05-10,2004-06-30,2.0,2.3,2.1455922444183315
NORDESTE,BA,3871,2004-05-10,2004-06-30,1.78,2.61,2.0739245672952724
NORDESTE,CE,2584,2004-05-10,2004-06-30,1.93,2.45,2.1621188080495357
NORDESTE,MA,1525,2004-05-10,2004-06-30,1.65,2.48,2.0281698360655738
NORDESTE,PB,1143,2004-05-10,2004-06-29,1.69,2.23,2.044609798775153
NORDESTE,PE,3836,2004-05-10,2004-06-30,1.77,2.36,2.030039363920751
NORDESTE,PI,839,2004-05-10,2004-06-30,1.94,2.29,2.121216924910608
NORDESTE,RN,1112,2004-05-10,2004-06-30,1.79,2.26,2.02198381294964
NORDESTE,SE,511,2004-05-10,2004-06-29,1.779,2.17,1.9850528375733854
NORTE,AC,397,2004-05-10,2004-06-30,1.85,2.85,2.3775692695214103
NORTE,AM,1005,2004-05-10,2004-06-30,1.77,2.48,2.048094527363184
NORTE,AP,389,2004-05-10,2004-06-30,2.08,2.68,2.207699228791774
NORTE,PA,1662,2004-05-10,2004-06-30,1.89,2.62,2.2803014440433214
NORTE,RO,851,2004-05-10,2004-06-30,1.89,2.89,2.318653349001175
NORTE,RR,409,2004-05-10,2004-06-30,1.9,2.18,1.9975794621026894
NORTE,TO,603,2004-05-10,2004-06-30,1.75,2.5,2.092759535655058
SUDESTE,ES,2533,2004-05-10,2004-06-30,1.77,2.39,2.0378657718120805
SUDESTE,MG,10381,2004-05-10,2004-06-30,1.739,2.38,2.00718061843753
SUDESTE,RJ,8573,2004-05-10,2004-06-30,1.7,2.599,2.03444436020063
SUDESTE,SP,33047,2004-05-10,2004-06-30,1.529,2.399,1.9271312978485189
SUL,PR,6104,2004-05-10,2004-06-30,1.72,2.6,2.0066653014416773
SUL,RS,6467,2004-05-10,2004-06-30,1.789,2.59,2.17176047626411
